Step,Value
0,-16
1,-16
2,-16
3,-14
4,-14
5,-14
6,-14
7,-14
8,-14
9,-14
10,-14
11,-12
12,-12
13,-12
14,-12
15,-12
16,-12
17,-12
18,-12
19,-12
20,-12
21,-12
22,-12
23,-12
24,-12
25,-12
26,-12
27,-12
28,-12
29,-12
30,-12
31,-12
32,-12
33,-12
34,-12
35,-12
36,-12
37,-12
38,-12
39,-12
40,-12
41,-12
42,-12
43,-12
44,-12
45,-12
46,-12
47,-12
48,-12
49,-12
50,-12
51,-12
52,-12
53,-12
54,-12
55,-12
56,-12
57,-12
58,-12
59,-12
60,-12
61,-10
62,-10
63,-10
64,-10
65,-10
66,-10
67,-10
68,-10
69,-10
70,-10
71,-10
72,-10
73,-10
74,-10
75,-10
76,-10
77,-10
78,-10
79,-10
80,-10
81,-10
82,-10
83,-10
84,-10
85,-10
86,-10
87,-10
88,-10
89,-10
90,-10
91,-10
92,-10
93,-10
94,-10
95,-10
96,-10
97,-10
98,-10
99,-10
100,-10
101,-10
102,-10
103,-10
104,-10
105,-10
106,-10
107,-10
108,-10
109,-10
110,-10
111,-10
112,-10
113,-10
114,-10
115,-10
116,-10
117,-10
118,-10
119,-10
120,-10
121,-10
122,-10
123,-10
124,-10
125,-10
126,-10
127,-10
128,-10
129,-10
130,-10
131,-10
132,-10
133,-10
134,-10
135,-10
136,-10
137,-10
138,-10
139,-10
140,-10
141,-10
142,-10
143,-10
144,-10
145,-10
146,-10
147,-10
148,-10
149,-10
150,-10
151,-10
152,-10
153,-10
154,-10
155,-10
156,-10
157,-10
158,-10
159,-10
160,-10
161,-10
162,-10
163,-10
164,-10
165,-10
166,-10
167,-10
168,-10
169,-10
170,-10
171,-10
172,-10
173,-10
174,-10
175,-10
176,-10
177,-10
178,-10
179,-10
180,-10
181,-10
182,-10
183,-10
184,-10
185,-10
186,-10
187,-10
188,-10
189,-10
190,-10
191,-10
192,-10
193,-10
194,-10
195,-8
196,-8
197,-8
198,-8
199,-8
200,-8
201,-8
202,-8
203,-8
204,-8
205,-8
206,-8
207,-8
208,-8
209,-8
210,-8
211,-8
212,-8
213,-8
214,-8
215,-8
216,-8
217,-8
218,-8
219,-8
220,-8
221,-8
222,-8
223,-8
224,-8
225,-8
226,-8
227,-8
228,-8
229,-8
230,-8
231,-8
232,-8
233,-8
234,-8
235,-8
236,-8
237,-8
238,-8
239,-8
240,-8
241,-8
242,-8
243,-8
244,-8
245,-8
246,-8
247,-8
248,-8
249,-8
250,-8
251,-8
252,-8
253,-8
254,-8
255,-8
256,-8
257,-8
258,-8
259,-8
260,-8
261,-8
262,-8
263,-8
264,-8
265,-8
266,-8
267,-8
268,-8
269,-8
270,-8
271,-8
272,-8
273,-8
274,-8
275,-8
276,-8
277,-8
278,-8
279,-8
280,-8
281,-8
282,-8
283,-8
284,-8
285,-8
286,-8
287,-8
288,-8
289,-8
290,-8
291,-8
292,-8
293,-8
294,-8
295,-8
296,-8
297,-8
298,-8
299,-8
300,-8
301,-8
302,-8
303,-8
304,-8
305,-8
306,-8
307,-8
308,-8
309,-8
310,-8
311,-8
312,-8
313,-8
314,-8
315,-8
316,-8
317,-8
318,-8
319,-8
320,-8
321,-8
322,-8
323,-8
324,-8
325,-8
326,-8
327,-8
328,-8
329,-8
330,-8
331,-8
332,-8
333,-8
334,-8
335,-8
336,-8
337,-8
338,-8
339,-8
340,-8
341,-8
342,-8
343,-8
344,-8
345,-8
346,-8
347,-8
348,-8
349,-8
350,-8
351,-8
352,-8
353,-8
354,-8
355,-8
356,-8
357,-8
358,-8
359,-8
360,-8
361,-8
362,-8
363,-8
364,-8
365,-8
366,-8
367,-8
368,-8
369,-8
370,-8
371,-8
372,-8
373,-8
374,-8
375,-8
376,-8
377,-8
378,-8
379,-8
380,-8
381,-8
382,-8
383,-8
384,-8
385,-8
386,-8
387,-8
388,-8
389,-8
390,-8
391,-8
392,-8
393,-8
394,-8
395,-8
396,-8
397,-8
398,-8
399,-8
400,-8
401,-8
402,-8
403,-8
404,-8
405,-8
406,-8
407,-8
408,-8
409,-8
410,-8
411,-8
412,-8
413,-8
414,-8
415,-8
416,-8
417,-8
418,-8
419,-8
420,-8
421,-8
422,-8
423,-8
424,-8
425,-8
426,-8
427,-8
428,-8
429,-8
430,-8
431,-8
432,-8
433,-8
434,-8
435,-8
436,-8
437,-8
438,-8
439,-8
440,-8
441,-8
442,-8
443,-8
444,-8
445,-8
446,-8
447,-8
448,-8
449,-8
450,-8
451,-8
452,-8
453,-8
454,-8
455,-8
456,-8
457,-8
458,-8
459,-8
460,-8
461,-8
462,-8
463,-8
464,-8
465,-8
466,-8
467,-8
468,-8
469,-8
470,-8
471,-8
472,-8
473,-8
474,-8
475,-8
476,-8
477,-8
478,-8
479,-8
480,-8
481,-8
482,-8
483,-8
484,-8
485,-8
486,-8
487,-8
488,-8
489,-8
490,-8
491,-8
492,-8
493,-8
494,-8
495,-8
496,-8
497,-8
498,-8
499,-8
500,-8
501,-8
502,-8
503,-8
504,-8
505,-8
506,-8
507,-8
508,-8
509,-8
510,-8
511,-8
512,-8
513,-8
514,-8
515,-8
516,-8
517,-8
518,-8
519,-8
520,-8
521,-8
522,-8
523,-8
524,-8
525,-8
526,-8
527,-8
528,-8
529,-8
530,-8
531,-8
532,-8
533,-8
534,-8
535,-8
536,-8
537,-8
538,-8
539,-8
540,-8
541,-8
542,-8
543,-8
544,-8
545,-8
546,-8
