Step,Value
0,-5
1,-5
2,-5
3,-5
4,-5
5,-5
6,-5
7,-5
8,-5
9,-5
10,-5
11,-5
12,-5
13,-5
14,-5
15,-5
16,-5
17,-5
18,-5
19,-5
20,-5
21,-5
22,-5
23,-5
24,-5
25,-5
26,-5
27,-5
28,-5
29,-5
30,-5
31,-5
32,-5
33,-5
34,-5
35,-5
36,-5
37,-5
38,-5
39,-5
40,-5
41,-5
42,-5
43,-5
44,-5
45,-5
46,-5
47,-5
48,-5
49,-5
50,-5
51,-5
52,-5
53,-5
54,-5
55,-5
56,-5
57,-5
58,-5
59,-5
60,-5
61,-5
62,-5
63,-5
64,-5
65,-5
66,-5
67,-5
68,-5
69,-5
70,-5
71,-5
72,-5
73,-5
74,-5
75,-5
76,-5
77,-5
78,-5
79,-5
80,-5
81,-5
82,-5
83,-5
84,-5
85,-5
86,-5
87,-5
88,-5
89,-5
90,-5
91,-5
92,-5
93,-5
94,-5
95,-5
96,-5
97,-5
98,-5
99,-5
100,-5
101,-5
102,-5
103,-5
104,-5
105,-5
106,-5
107,-5
108,-5
109,-5
110,-5
111,-5
112,-5
113,-5
114,-5
115,-5
116,-5
117,-5
118,-5
119,-5
120,-5
121,-5
122,-5
123,-5
124,-5
125,-5
126,-5
127,-5
128,-5
129,-5
130,-5
131,-5
132,-5
133,-5
134,-5
135,-5
136,-5
137,-5
138,-5
139,-5
140,-5
141,-5
142,-5
143,-5
144,-5
145,-5
146,-5
147,-5
148,-5
149,-5
150,-5
151,-5
152,-5
153,-5
154,-5
155,-5
156,-5
157,-5
158,-5
159,-5
160,-5
161,-5
162,-5
163,-5
164,-5
165,-5
166,-5
167,-5
168,-5
169,-5
170,-5
171,-5
172,-5
173,-5
174,-5
175,-5
176,-5
177,-5
178,-5
179,-5
180,-5
181,-5
182,-5
183,-5
184,-5
185,-5
186,-5
187,-5
188,-5
189,-5
190,-5
191,-5
192,-5
193,-5
194,-5
195,-5
196,-5
197,-5
198,-5
199,-5
200,-5
201,-5
202,-5
203,-5
204,-5
205,-5
206,-5
207,-5
208,-5
209,-5
210,-5
211,-5
212,-5
213,-5
214,-5
215,-5
216,-5
217,-5
218,-5
219,-5
220,-5
221,-5
222,-5
223,-5
224,-5
225,-5
226,-5
227,-5
228,-5
229,-5
230,-5
231,-5
232,-5
233,-5
234,-5
235,-5
236,-5
237,-5
238,-5
239,-5
240,-5
241,-5
242,-5
243,-5
244,-5
245,-5
246,-5
247,-5
248,-5
249,-5
250,-5
251,-5
252,-5
253,-5
254,-5
255,-5
256,-5
257,-5
258,-5
259,-5
260,-5
261,-5
262,-5
263,-5
264,-5
265,-5
266,-5
267,-5
268,-5
269,-5
270,-5
271,-5
272,-5
273,-5
274,-5
275,-5
276,-5
277,-5
278,-5
279,-5
280,-5
281,-5
282,-5
283,-5
284,-5
285,-5
286,-5
287,-3
288,-3
289,-3
290,-3
291,-3
292,-3
293,-3
294,-3
295,-3
296,-3
297,-3
298,-3
299,-3
300,-3
301,-3
302,-3
303,-3
304,-3
305,-3
306,-3
307,-3
308,-3
309,-3
310,-3
311,-3
312,-3
313,-3
314,-3
315,-3
316,-3
317,-3
318,-3
319,-3
320,-3
321,-3
322,-3
323,-3
324,-3
325,-3
326,-3
327,-3
328,-3
329,-3
330,-3
331,-3
332,-3
333,-3
334,-3
335,-3
336,-3
337,-3
338,-3
339,-3
340,-3
341,-3
342,-3
343,-3
344,-3
345,-3
346,-3
347,-3
348,-3
349,-3
350,-3
351,-3
352,-3
353,-3
354,-3
355,-3
356,-3
357,-3
358,-3
359,-3
360,-3
361,-3
362,-3
363,-3
364,-3
365,-3
366,-3
367,-3
368,-3
369,-3
370,-3
371,-3
372,-3
373,-3
374,-3
375,-3
376,-3
377,-3
378,-3
379,-3
380,-3
381,-3
382,-3
383,-3
384,-3
385,-3
386,-3
387,-3
388,-3
389,-3
390,-3
391,-3
392,-3
393,-3
394,-3
395,-3
396,-3
397,-3
398,-3
399,-3
400,-3
401,-3
402,-3
403,-3
404,-3
405,-3
406,-3
407,-3
408,-3
409,-3
410,-3
411,-3
412,-3
413,-3
414,-3
415,-3
416,-3
417,-3
418,-3
419,-3
420,-3
421,-3
422,-3
423,-3
424,-3
425,-3
426,-3
427,-3
428,-3
429,-3
430,-3
431,-3
432,-3
433,-3
434,-3
435,-3
436,-3
437,-3
438,-3
439,-3
440,-3
441,-3
442,-3
443,-3
444,-3
445,-3
446,-3
447,-3
448,-3
449,-3
450,-3
451,-3
