Step,Value
0,-38
1,-38
2,-36
3,-36
4,-34
5,-34
6,-34
7,-34
8,-32
9,-32
10,-32
11,-30
12,-30
13,-30
14,-30
15,-30
16,-30
17,-30
18,-28
19,-28
20,-28
21,-28
22,-28
23,-28
24,-28
25,-28
26,-28
27,-28
28,-28
29,-28
30,-26
31,-26
32,-26
33,-26
34,-26
35,-26
36,-26
37,-26
38,-26
39,-26
40,-26
41,-26
42,-26
43,-26
44,-26
45,-26
46,-26
47,-26
48,-26
49,-26
50,-26
51,-26
52,-26
53,-26
54,-26
55,-26
56,-26
57,-26
58,-26
59,-24
60,-24
61,-24
62,-24
63,-24
64,-24
65,-24
66,-24
67,-24
68,-24
69,-24
70,-24
71,-24
72,-24
73,-24
74,-24
75,-24
76,-24
77,-24
78,-24
79,-24
80,-24
81,-24
82,-24
83,-24
84,-24
85,-24
86,-24
87,-24
88,-24
89,-24
90,-24
91,-24
92,-24
93,-24
94,-24
95,-24
96,-24
97,-24
98,-24
99,-24
100,-24
101,-24
102,-24
103,-24
104,-24
105,-24
106,-24
107,-24
108,-24
109,-22
110,-22
111,-22
112,-22
113,-22
114,-22
115,-22
116,-22
117,-22
118,-22
119,-22
120,-22
121,-22
122,-22
123,-22
124,-22
125,-22
126,-22
127,-22
128,-22
129,-22
130,-22
131,-22
132,-22
133,-22
134,-22
135,-22
136,-22
137,-22
138,-22
139,-22
140,-22
141,-22
142,-22
143,-22
144,-22
145,-22
146,-22
147,-22
148,-22
149,-22
150,-22
151,-22
152,-22
153,-22
154,-22
155,-22
156,-22
157,-22
158,-22
159,-22
160,-22
161,-22
162,-22
163,-22
164,-22
165,-22
166,-22
167,-22
168,-22
169,-22
170,-22
171,-22
172,-22
173,-22
174,-22
175,-22
176,-22
177,-22
178,-22
179,-22
180,-22
181,-22
182,-22
183,-22
184,-22
185,-22
186,-22
187,-22
188,-20
189,-20
190,-20
191,-20
192,-20
193,-20
194,-20
195,-20
196,-20
197,-20
198,-20
199,-20
200,-20
201,-20
202,-20
203,-20
204,-20
205,-20
206,-20
207,-20
208,-20
209,-20
210,-20
211,-20
212,-20
213,-20
214,-20
215,-20
216,-20
217,-20
218,-20
219,-20
220,-20
221,-20
222,-20
223,-20
224,-20
225,-20
226,-20
227,-20
228,-20
229,-20
230,-20
231,-20
232,-20
233,-20
234,-20
235,-20
236,-20
237,-20
238,-20
239,-20
240,-20
241,-20
242,-20
243,-20
244,-20
245,-20
246,-20
247,-20
248,-20
249,-20
250,-20
251,-20
252,-20
253,-20
254,-20
255,-20
256,-20
257,-20
258,-20
259,-20
