Step,Value
0,-22
1,-20
2,-20
3,-18
4,-16
5,-16
6,-16
7,-16
8,-16
9,-16
10,-16
11,-16
12,-16
13,-16
14,-16
15,-16
16,-16
17,-16
18,-16
19,-16
20,-16
21,-16
22,-16
23,-16
24,-16
25,-16
26,-16
27,-16
28,-16
29,-14
30,-14
31,-14
32,-14
33,-14
34,-14
35,-14
36,-14
37,-14
38,-14
39,-14
40,-14
41,-14
42,-14
43,-14
44,-14
45,-14
46,-14
47,-14
48,-14
49,-14
50,-14
51,-14
52,-14
53,-14
54,-14
55,-14
56,-14
57,-14
58,-14
59,-14
60,-14
61,-14
62,-14
63,-14
64,-14
65,-14
66,-14
67,-14
68,-14
69,-14
70,-14
71,-14
72,-14
73,-14
74,-14
75,-14
76,-14
77,-14
78,-14
79,-14
80,-14
81,-12
82,-12
83,-12
84,-12
85,-12
86,-12
87,-12
88,-12
89,-12
90,-12
91,-12
92,-12
93,-12
94,-12
95,-12
96,-12
97,-12
98,-12
99,-12
100,-12
101,-12
102,-12
103,-12
104,-12
105,-12
106,-12
107,-12
108,-12
109,-12
110,-12
111,-12
112,-12
113,-12
114,-12
115,-12
116,-12
117,-12
118,-12
119,-12
120,-12
121,-12
122,-12
123,-12
124,-12
125,-12
126,-12
127,-12
128,-12
129,-12
130,-12
131,-12
132,-12
133,-12
134,-12
135,-12
136,-12
137,-12
138,-12
139,-12
140,-12
141,-12
142,-12
143,-12
144,-12
145,-12
146,-12
147,-12
148,-12
149,-12
150,-12
151,-12
152,-12
153,-12
154,-12
155,-12
156,-12
157,-12
158,-12
159,-12
160,-12
161,-12
162,-12
163,-12
164,-12
165,-12
166,-12
167,-12
168,-12
169,-12
170,-12
171,-12
172,-12
173,-12
174,-12
175,-12
176,-12
177,-12
178,-12
179,-12
180,-12
181,-12
182,-12
183,-12
184,-12
185,-12
186,-12
187,-12
188,-12
189,-12
190,-12
191,-12
192,-12
193,-12
194,-12
195,-12
196,-12
197,-12
198,-12
199,-12
200,-12
201,-12
202,-12
203,-12
204,-12
205,-10
206,-10
207,-10
208,-10
209,-10
210,-10
211,-10
212,-10
213,-10
214,-10
215,-10
216,-10
217,-10
218,-10
219,-10
220,-10
221,-10
222,-10
223,-10
224,-10
225,-10
226,-10
227,-10
228,-10
229,-10
230,-10
231,-10
232,-10
233,-10
234,-10
235,-10
236,-10
237,-10
238,-10
239,-10
240,-10
241,-10
242,-10
243,-10
244,-10
245,-10
246,-10
247,-10
248,-10
249,-10
250,-10
251,-10
252,-10
253,-10
254,-10
255,-10
256,-10
257,-10
258,-10
259,-10
260,-10
261,-10
262,-10
263,-10
264,-10
265,-10
266,-10
267,-10
268,-10
269,-10
270,-10
271,-10
272,-10
273,-10
274,-10
275,-10
276,-10
277,-10
278,-10
279,-10
280,-10
281,-10
282,-10
283,-10
284,-10
285,-10
286,-10
287,-10
288,-10
289,-10
290,-10
291,-10
292,-10
293,-10
294,-10
295,-10
296,-10
297,-10
298,-10
299,-10
300,-10
301,-10
302,-10
303,-10
304,-10
305,-10
306,-10
307,-10
308,-10
309,-10
310,-10
311,-10
312,-10
313,-10
314,-10
315,-10
316,-10
317,-10
318,-10
319,-10
320,-10
321,-10
322,-10
323,-10
324,-10
325,-10
326,-10
327,-10
328,-10
329,-10
330,-10
331,-10
332,-10
333,-10
334,-10
335,-10
336,-10
337,-10
338,-10
339,-10
340,-10
341,-10
342,-10
343,-10
344,-10
345,-10
346,-10
347,-10
348,-10
349,-10
350,-10
351,-10
352,-10
353,-10
354,-10
355,-10
356,-10
357,-10
358,-10
359,-10
360,-10
361,-10
362,-10
363,-10
364,-10
365,-10
366,-10
367,-10
368,-10
369,-10
370,-10
371,-10
372,-10
373,-10
374,-10
375,-10
376,-10
377,-10
378,-10
379,-10
380,-10
381,-10
382,-10
383,-10
384,-10
385,-10
386,-10
387,-10
388,-10
389,-10
390,-10
391,-10
392,-10
393,-10
394,-10
395,-10
396,-10
397,-10
398,-10
399,-10
400,-10
401,-10
402,-10
403,-10
404,-10
405,-10
406,-10
407,-10
408,-10
409,-10
410,-10
411,-10
412,-10
413,-10
414,-10
415,-10
416,-10
417,-10
418,-10
419,-10
420,-10
421,-10
422,-10
423,-10
424,-10
425,-10
426,-10
427,-10
428,-10
429,-10
430,-10
431,-10
432,-10
433,-10
434,-10
435,-10
436,-10
437,-10
438,-10
439,-10
440,-10
441,-10
442,-10
443,-10
444,-10
445,-10
446,-10
447,-10
448,-10
449,-10
450,-10
451,-10
452,-10
453,-10
454,-10
455,-10
456,-10
457,-10
458,-10
459,-10
460,-10
461,-10
462,-10
463,-10
464,-10
465,-10
466,-10
467,-10
468,-10
469,-10
470,-10
471,-10
472,-10
473,-10
474,-10
475,-10
476,-10
477,-10
478,-10
479,-10
480,-10
481,-10
482,-10
483,-10
484,-10
485,-10
486,-10
487,-10
488,-10
489,-10
490,-10
491,-8
492,-8
493,-8
494,-8
